user_id,password,name,hire_date,birth_date,special_auth
admin,8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918,admin,9999-12-31,,Y
jmjin,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,진준모,2023-06-01,1998-12-07,N
gdhong,fe1729d9a4f6b624c0da0dd173a7ea494d4f8aeb2faf1814592a2c870db7175a,홍길동,2020-07-01,1986-03-03,N
mskim,f1bcc8f6a8924462497ddcd1c533faa3e359920233c6ac82bd09fb161e24ebea,김민수,2019-11-20,1993-06-22,N
sylee,af2ae466799e320b7f3f8d964f06bdfb6182c0ce6e07b198523f990d93b36d71,이서연,2022-01-10,1990-12-12,N
jhpark,32fa69fa2ef43b94f5c20a5aad0f6b9401357f14e31c5464f27b458fbede33ee,박지훈,2018-05-03,1970-07-10,N
ejchoi,6ebe3acf9d03f2092134e958ac25824326174c0cec3d749ec44e19daf333fb2b,최은지,2023-09-18,1998-09-09,N
hwjung,e7288b143119127dacceafcfcb3dea65e710edf78ce86be84e325c342b0dccdc,정현우,2020-12-07,1996-08-05,N
yrkang,65fafdb4fc2034b30094617231847015e64e684ad940f504e3e5517a22adbff9,강유리,2021-06-25,1985-02-11,N
dhcho,8a7a4609de3a8287948412d53dc3790d08a2fdcb53b175625e244f181e09f9de,조동현,2017-04-12,1984-11-25,N
